"Number of Connections" "Job" "Industry" "Education"
"2" "500+" "Associate Professor at School of Engineering, RMIT University" "Higher Education" "Massachusetts Institute of Technology"
"9" "500+" "Co-founder at KantWait LLC" "Electrical/Electronic Manufacturing" "University of Illinois at Urbana-Champaign"
"28" "480" "Financial and Treasury Risk Consultant at PwC" "Financial Services" "University of Illinois at Urbana-Champaign"
"26" "403" "CEO, Owner / Sandoll Communications Inc." "Information Technology and Services" "한국과학기술원(KAIST)"
"15" "354" "Staff Actuary at the Casualty Actuarial Society" "Research" "University of Illinois at Urbana-Champaign"
"4" "351" "Professor at Konkuk University" "Research" "Korea Advanced Institute of Science and Technology"
"23" "331" "Tax Intern at PwC" "Accounting" "University of Illinois at Urbana-Champaign"
"3" "290" "다이닝코드 CEO" "Information Technology and Services" "Seoul National University"
"44" "282" "Student at the University of Illinois at Urbana-Champaign" "" "University of Illinois at Urbana-Champaign"
"8" "265" "SEVIS Technology Manager at Boston College" "Higher Education" "Brandeis University"
"11" "254" "Senior Law Student Associate at Chicago Advocate Legal, NFP" "Law Practice" "Loyola University Chicago School of Law"
"34" "250" "Assurance Associate at EY" "Accounting" "University of Illinois at Urbana Champaign"
"35" "249" "Active Job Seeker / Business Consultant / Project Manager / Business Analyst / Photographer" "Management Consulting" "University of Illinois at Urbana-Champaign"
"20" "195" "Promotion&Marketing Staff at WPGU 107.1 FM" "Events Services" "University of Illinois at Urbana-Champaign"
"46" "190" "Planning Intern at City of Champaign" "Government Administration" "University of Illinois at Urbana-Champaign"
"5" "186" "Chairman of the Board at i-Fashion Biz Center Foundation Ltd." "Apparel & Fashion" ""
"17" "183" "Compiler Engineer at Wolfram MathCore" "Computer Software" "Universite Pierre et Marie Curie (Paris 6) and INRIA"
"36" "147" "Market Analyst at Coesia Singapore - Coesia S.p.A." "Machinery" "University of Illinois at Urbana-Champaign"
"19" "97" "Student at University of Illinois at Urbana-Champaign" "" "University of Illinois at Urbana-Champaign"
"22" "85" "student at University of Illinois at Urbana-Champaign" "Chemicals" "University of Illinois at Urbana-Champaign"
"24" "83" "Associate Professor at Konkuk University" "Education Management" "University of Calicut"
"30" "79" "Dept. of Aerospace Eng, Konkuk University Prof." "Aviation & Aerospace" "서울대학교"
"18" "74" "Dept. of Civil Engineering, Konkuk University Professor" "Construction" "UC Berkeley"
"39" "74" "Northwestern University Student" "Higher Education" "Northwestern University"
"25" "72" "Konkuk University의 Vice President" "" ""
"31" "72" "Account Specialist at CF Industries" "" "University of Illinois at Urbana-Champaign"
"12" "67" "Professor at Dept. of Chemical Engineering, Konkuk University" "Nanotechnology" "Seoul Natinal University"
"27" "60" "University of Illinois at Urbana-Champaign 학생" "Marketing and Advertising" "University of Illinois at Urbana-Champaign"
"6" "57" "Professor at Konkuk University" "Civil Engineering" ""
"1" "48" "Associate Professor at Konkuk University" "Computer Software" "Seoul National University"
"29" "48" "Active Job Seeker & Research Assistant at Seoul National University Hospital" "Hospital & Health Care" "University of Illinois at Urbana-Champaign"
"32" "45" "Educator, Entrepreneur, Hip Hop Producer, TV Show Host" "Entertainment" "Harvard University"
"37" "43" "--" "Higher Education" "한국정보통신대학교 (Information and Communications University)"
"14" "29" "Undergraduate Research Assistant at University of Illinois at Urbana-Champaign" "Veterinary" "Seoul National University"
"7" "26" "Professor at Dept. of Mechanical Engineering, Konkuk University" "Mechanical or Industrial Engineering" "Univ. of California, Berkeley"
"43" "26" "Dept. of Chemistry, Konkuk University" "Research" "Philipps-Universitat Marburg"
"21" "25" "Student at University of Illinois at Urbana-Champaign" "Mechanical or Industrial Engineering" "University of Illinois at Urbana-Champaign"
"42" "25" "University of Illinois at Urbana-Champaign" "Design" "University of Illinois at Urbana-Champaign"
"16" "24" "Konkuk University, College of Engineering Professor" "Higher Education" "University of Maryland College Park"
"10" "20" "Professor at Dept. of Mechanical Engineering, Konkuk University" "Biotechnology" "The University of Michigan, Ann Arbor"
"38" "19" "Intern Associate at Boston Consulting Group" "Financial Services" "University of Illinois at Urbana-Champaign"
"13" "18" "Professor at Dept. of Civil Engrg, Konkuk University" "Research" ""
"33" "12" "한국과학기술원(KAIST) 학생" "" "Korea Advanced Institute of Science and Technology"
"40" "9" "University of Illinois at Urbana-Champaign 학생" "" "University of Illinois at Urbana-Champaign"
"45" "9" "Dept. of Chemistry, Konkuk University Full Professor" "Research" ""
"41" "" "Corporate Account Manager at CDW | Pacific Northwest" "Information Technology and Services" "University of Illinois"
